ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
92,8/29/2020,Los Angeles - Baldwin Hills,560,1799,1801,26,84,66,31125
93,8/29/2020,Los Angeles - Bel Air,76,902,937,0,0,0,8429
94,8/29/2020,Los Angeles - Beverly Crest,104,830,963,2,16,9,12525
95,8/29/2020,Los Angeles - Beverlywood,135,1025,1078,0,0,0,13173
96,8/29/2020,Los Angeles - Boyle Heights,4007,4612,4596,60,69,81,86884
97,8/29/2020,Los Angeles - Brentwood,259,837,792,3,10,7,30955
98,8/29/2020,Los Angeles - Brookside,3,516,485,0,0,0,581
99,8/29/2020,Los Angeles - Cadillac-Corning,109,1531,1485,1,14,27,7121
100,8/29/2020,Los Angeles - Canoga Park,1679,2572,2549,53,81,104,65289
101,8/29/2020,Los Angeles - Carthay,196,1365,1709,14,97,46,14363
102,8/29/2020,Los Angeles - Central,1980,5078,5148,40,103,148,38992
103,8/29/2020,Los Angeles - Century City,108,844,987,0,0,0,12792
104,8/29/2020,Los Angeles - Century Palms/Cove,1390,4117,4208,18,53,74,33766
105,8/29/2020,Los Angeles - Chatsworth,597,1611,1598,34,92,58,37061
106,8/29/2020,Los Angeles - Cheviot Hills,62,676,777,2,22,10,9171
107,8/29/2020,Los Angeles - Chinatown,108,1346,1326,3,37,23,8021
108,8/29/2020,Los Angeles - Cloverdale/Cochran,275,1890,1812,5,34,37,14553
109,8/29/2020,Los Angeles - Country Club Park,274,1808,1677,22,145,108,15153
110,8/29/2020,Los Angeles - Crenshaw District,275,1989,2009,3,22,14,13829
111,8/29/2020,Los Angeles - Crestview,176,1548,1517,20,176,158,11368
112,8/29/2020,Los Angeles - Del Rey,324,1082,1083,9,30,23,29936
113,8/29/2020,Los Angeles - Downtown,691,2512,2561,13,47,38,27507
114,8/29/2020,Los Angeles - Eagle Rock,604,1526,1471,18,45,31,39589
115,8/29/2020,Los Angeles - East Hollywood,551,1881,1748,43,147,126,29287
116,8/29/2020,Los Angeles - Echo Park,216,1515,1501,4,28,27,14256
117,8/29/2020,Los Angeles - El Sereno,1113,2662,2614,31,74,71,41808
118,8/29/2020,Los Angeles - Elysian Park,87,1523,1440,0,0,0,5712
119,8/29/2020,Los Angeles - Elysian Valley,239,2350,2287,3,30,27,10171
120,8/29/2020,Los Angeles - Encino,502,1111,1166,17,38,19,45172
121,8/29/2020,Los Angeles - Exposition,73,2195,2054,1,30,29,3326
122,8/29/2020,Los Angeles - Exposition Park,1207,2687,2732,21,47,64,44917
123,8/29/2020,Los Angeles - Faircrest Heights,29,806,733,2,56,46,3600
124,8/29/2020,Los Angeles - Figueroa Park Square,298,3417,3397,4,46,46,8721
125,8/29/2020,Los Angeles - Florence-Firestone,2103,4432,4476,25,53,78,47445
126,8/29/2020,Los Angeles - Glassell Park,621,1965,1911,13,41,34,31604
127,8/29/2020,Los Angeles - Gramercy Place,219,2035,2080,4,37,24,10764
128,8/29/2020,Los Angeles - Granada Hills,1049,1803,1703,62,107,77,58191
129,8/29/2020,Los Angeles - Green Meadows,883,4106,4138,11,51,68,21505
130,8/29/2020,Los Angeles - Hancock Park,197,1156,1189,3,18,17,17039
131,8/29/2020,Los Angeles - Harbor City,448,1541,1531,10,34,27,29070
132,8/29/2020,Los Angeles - Harbor Gateway,910,2087,2038,13,30,33,43600
133,8/29/2020,Los Angeles - Harbor Pines,18,747,850,0,0,0,2409
134,8/29/2020,Los Angeles - Harvard Heights,522,2894,2830,23,128,150,18035
135,8/29/2020,Los Angeles - Harvard Park,1481,3904,3864,18,47,52,37935
136,8/29/2020,Los Angeles - Highland Park,997,2060,2019,19,39,43,48391
137,8/29/2020,Los Angeles - Historic Filipinotown,399,2877,2692,14,101,91,13870
138,8/29/2020,Los Angeles - Hollywood,1055,1546,1399,12,18,19,68254
139,8/29/2020,Los Angeles - Hollywood Hills,251,853,944,7,24,22,29434
140,8/29/2020,Los Angeles - Hyde Park,735,2575,2533,14,49,41,28541
141,8/29/2020,Los Angeles - Jefferson Park,233,2886,2860,0,0,0,8073
142,8/29/2020,Los Angeles - Koreatown,1055,2041,1975,27,52,51,51693
143,8/29/2020,Los Angeles - Lafayette Square,78,1711,1673,3,66,64,4559
144,8/29/2020,Los Angeles - Lake Balboa,887,2102,2091,18,43,47,42206
145,8/29/2020,Los Angeles - Lakeview Terrace,503,3830,3812,21,160,184,13133
146,8/29/2020,Los Angeles - Leimert Park,274,1798,1782,7,46,32,15235
147,8/29/2020,Los Angeles - Lincoln Heights,975,2991,2927,46,141,120,32597
148,8/29/2020,Los Angeles - Little Armenia,371,4623,3983,51,636,517,8025
149,8/29/2020,Los Angeles - Little Bangladesh,450,1588,1584,5,18,19,28343
150,8/29/2020,Los Angeles - Little Tokyo,59,1883,2240,2,64,21,3133
151,8/29/2020,Los Angeles - Longwood,108,2509,2430,0,0,0,4304
152,8/29/2020,Los Angeles - Los Feliz,180,833,875,2,9,6,21608
153,8/29/2020,Los Angeles - Manchester Square,179,2097,2091,3,35,27,8536
154,8/29/2020,Los Angeles - Mandeville Canyon,20,640,928,0,0,0,3124
155,8/29/2020,Los Angeles - Mar Vista,288,678,690,5,12,9,42471
156,8/29/2020,Los Angeles - Marina Peninsula,30,688,733,0,0,0,4360
157,8/29/2020,Los Angeles - Melrose,1737,2236,2196,67,86,88,77696
158,8/29/2020,Los Angeles - Mid-city,261,1737,1695,23,153,139,15030
159,8/29/2020,Los Angeles - Miracle Mile,153,851,792,6,33,33,17985
160,8/29/2020,Los Angeles - Mission Hills,661,2740,2641,23,95,82,24124
161,8/29/2020,Los Angeles - Mt. Washington,505,2092,2047,14,58,54,24145
162,8/29/2020,Los Angeles - North Hills,1629,2646,2605,43,70,79,61575
163,8/29/2020,Los Angeles - North Hollywood,3296,2177,2083,58,38,42,151421
164,8/29/2020,Los Angeles - Northridge,1244,1782,1738,41,59,48,69797
165,8/29/2020,Los Angeles - Pacific Palisades,113,531,608,4,19,9,21291
166,8/29/2020,Los Angeles - Pacoima,3051,3963,3961,41,53,71,76979
167,8/29/2020,Los Angeles - Palisades Highlands,21,546,651,0,0,0,3846
168,8/29/2020,Los Angeles - Palms,498,1135,1251,29,66,89,43877
169,8/29/2020,Los Angeles - Panorama City,2571,3417,3428,86,114,151,75250
170,8/29/2020,Los Angeles - Park La Brea,91,670,566,1,7,8,13580
171,8/29/2020,Los Angeles - Pico-Union,1666,3982,3999,88,210,248,41842
172,8/29/2020,Los Angeles - Playa Del Rey,27,845,1087,0,0,0,3196
173,8/29/2020,Los Angeles - Playa Vista,126,1151,1151,0,0,0,10947
174,8/29/2020,Los Angeles - Porter Ranch,324,910,966,6,17,10,35588
175,8/29/2020,Los Angeles - Rancho Park,78,1189,1385,1,15,11,6560
176,8/29/2020,Los Angeles - Regent Square,27,971,949,0,0,0,2780
177,8/29/2020,Los Angeles - Reseda,1948,2543,2467,74,97,87,76617
178,8/29/2020,Los Angeles - Reseda Ranch,106,2286,2156,0,0,0,4636
179,8/29/2020,Los Angeles - Reynier Village,37,875,932,0,0,0,4228
180,8/29/2020,Los Angeles - San Pedro,1833,2349,2338,26,33,31,78038
181,8/29/2020,Los Angeles - Shadow Hills,56,1261,1449,0,0,0,4442
182,8/29/2020,Los Angeles - Sherman Oaks,932,1068,1137,19,22,19,87254
183,8/29/2020,Los Angeles - Silverlake,579,1313,1323,17,39,34,44083
184,8/29/2020,Los Angeles - South Carthay,106,1000,1194,2,19,12,10595
185,8/29/2020,Los Angeles - South Park,1872,4931,5009,27,71,107,37961
186,8/29/2020,Los Angeles - St Elmo Village,130,2836,3028,8,175,264,4584
187,8/29/2020,Los Angeles - Studio City,225,1003,1110,11,49,42,22440
188,8/29/2020,Los Angeles - Sun Valley,1393,2654,2584,22,42,43,52483
189,8/29/2020,Los Angeles - Sunland,404,1980,1887,27,132,94,20408
190,8/29/2020,Los Angeles - Sycamore Square,5,773,783,0,0,0,647
191,8/29/2020,Los Angeles - Sylmar,2917,3540,3514,77,93,113,82398
192,8/29/2020,Los Angeles - Tarzana,558,1807,1665,37,120,75,30876
193,8/29/2020,Los Angeles - Temple-Beaudry,1131,2865,2768,26,66,75,39482
194,8/29/2020,Los Angeles - Thai Town,147,1499,1440,0,0,0,9809
195,8/29/2020,Los Angeles - Toluca Lake,88,1011,1217,0,0,0,8704
196,8/29/2020,Los Angeles - Toluca Terrace,18,1378,1459,1,77,72,1306
197,8/29/2020,Los Angeles - Toluca Woods,18,969,879,0,0,0,1858
198,8/29/2020,Los Angeles - Tujunga,415,1492,1458,14,50,41,27810
199,8/29/2020,Los Angeles - University Hills,49,1429,1418,1,29,19,3429
200,8/29/2020,Los Angeles - University Park,859,3129,3727,19,69,125,27456
201,8/29/2020,Los Angeles - Valley Glen,546,1819,1764,19,63,65,30016
202,8/29/2020,Los Angeles - Valley Village,461,1865,1822,25,101,85,24720
203,8/29/2020,Los Angeles - Van Nuys,2589,2778,2796,72,77,95,93194
204,8/29/2020,Los Angeles - Venice,264,779,992,3,9,9,33885
205,8/29/2020,Los Angeles - Vermont Knolls,669,3890,3834,13,76,93,17200
206,8/29/2020,Los Angeles - Vermont Square,310,4049,4008,3,39,36,7657
207,8/29/2020,Los Angeles - Vermont Vista,1746,4239,4323,24,58,87,41186
208,8/29/2020,Los Angeles - Vernon Central,2767,5321,5434,40,77,117,51998
209,8/29/2020,Los Angeles - Victoria Park,201,2393,2317,3,36,29,8399
210,8/29/2020,Los Angeles - View Heights,42,1137,1121,2,54,42,3694
211,8/29/2020,Los Angeles - Watts,1775,4159,4353,23,54,97,42674
212,8/29/2020,Los Angeles - Wellington Square,109,2218,2212,0,0,0,4915
213,8/29/2020,Los Angeles - West Adams,808,2924,2864,36,130,132,27630
214,8/29/2020,Los Angeles - West Hills,468,1154,1165,30,74,45,40545
215,8/29/2020,Los Angeles - West Los Angeles,465,1236,1231,14,37,40,37636
216,8/29/2020,Los Angeles - West Vernon,2097,3909,3898,44,82,106,53644
217,8/29/2020,Los Angeles - Westchester,379,734,697,15,29,26,51603
218,8/29/2020,Los Angeles - Westlake,2237,3769,3828,138,232,269,59355
219,8/29/2020,Los Angeles - Westwood,316,584,544,6,11,10,54109
220,8/29/2020,Los Angeles - Wholesale District,2209,6114,5310,25,69,87,36129
221,8/29/2020,Los Angeles - Wilmington,1615,2859,2857,15,27,37,56487
222,8/29/2020,Los Angeles - Wilshire Center,1015,2023,1972,33,66,65,50170
223,8/29/2020,Los Angeles - Winnetka,1112,2147,2054,16,31,29,51786
224,8/29/2020,Los Angeles - Woodland Hills,792,1164,1150,27,40,25,68055
225,8/29/2020,Unincorporated - Acton,60,753,844,2,25,18,7971
226,8/29/2020,Unincorporated - Agua Dulce,24,577,631,0,0,0,4158
227,8/29/2020,Unincorporated - Altadena,614,1408,1463,13,30,23,43620
228,8/29/2020,Unincorporated - Anaverde,13,862,1013,0,0,0,1508
229,8/29/2020,Unincorporated - Angeles National Forest,5,402,411,0,0,0,1245
230,8/29/2020,Unincorporated - Arcadia,81,1015,1034,2,25,18,7981
231,8/29/2020,Unincorporated - Athens Village,211,4309,4360,9,184,186,4897
232,8/29/2020,Unincorporated - Athens-Westmont,1394,3284,3299,25,59,64,42442
233,8/29/2020,Unincorporated - Avocado Heights,259,3823,3770,2,30,34,6775
234,8/29/2020,Unincorporated - Azusa,446,2801,2719,2,13,17,15923
235,8/29/2020,Unincorporated - Bassett,577,3894,3842,9,61,63,14817
236,8/29/2020,Unincorporated - Bouquet Canyon,6,559,800,1,93,82,1073
237,8/29/2020,Unincorporated - Bradbury,4,3704,303,1,926,255,108
238,8/29/2020,Unincorporated - Canyon Country,117,1514,1596,0,0,0,7728
239,8/29/2020,Unincorporated - Castaic,1901,6991,6369,5,18,17,27191
240,8/29/2020,Unincorporated - Cerritos,14,2385,2295,0,0,0,587
241,8/29/2020,Unincorporated - Claremont,22,3134,4106,1,142,73,702
242,8/29/2020,Unincorporated - Covina,389,2313,2226,6,36,33,16819
243,8/29/2020,Unincorporated - Covina (Charter Oak),274,2085,2066,1,8,10,13144
244,8/29/2020,Unincorporated - Del Aire,69,1571,1556,2,46,44,4393
245,8/29/2020,Unincorporated - Del Rey,3,943,1312,0,0,0,318
246,8/29/2020,Unincorporated - Del Sur,10,414,474,1,41,20,2415
247,8/29/2020,Unincorporated - Desert View Highlands,42,1685,1596,1,40,24,2493
248,8/29/2020,Unincorporated - Duarte,117,2642,2613,4,90,114,4428
249,8/29/2020,Unincorporated - East Covina,4,1216,1379,0,0,0,329
250,8/29/2020,Unincorporated - East La Mirada,92,1738,1722,0,0,0,5292
251,8/29/2020,Unincorporated - East Los Angeles,5692,4544,4546,91,73,84,125269
252,8/29/2020,Unincorporated - East Pasadena,69,1078,1015,1,16,9,6403
253,8/29/2020,Unincorporated - East Rancho Dominguez,604,3946,3933,10,65,75,15308
254,8/29/2020,Unincorporated - East Whittier,75,1413,1396,0,0,0,5306
255,8/29/2020,Unincorporated - El Camino Village,137,1558,1553,3,34,24,8791
256,8/29/2020,Unincorporated - El Monte,5,3448,5624,0,0,0,145
257,8/29/2020,Unincorporated - Elizabeth Lake,6,361,406,0,0,0,1661
258,8/29/2020,Unincorporated - Florence-Firestone,3157,4879,4928,43,66,84,64705
259,8/29/2020,Unincorporated - Glendora,12,1818,2094,0,0,0,660
260,8/29/2020,Unincorporated - Hacienda Heights,932,1666,1653,12,21,15,55926
261,8/29/2020,Unincorporated - Hawthorne,57,2267,2168,0,0,0,2514
262,8/29/2020,Unincorporated - Hi Vista,6,546,585,0,0,0,1098
263,8/29/2020,Unincorporated - Kagel/Lopez Canyons,30,2125,2673,1,71,113,1412
264,8/29/2020,Unincorporated - La Crescenta-Montrose,157,793,804,2,10,5,19801
265,8/29/2020,Unincorporated - La Rambla,75,3614,2911,12,578,381,2075
266,8/29/2020,Unincorporated - La Verne,32,1569,1898,0,0,0,2040
267,8/29/2020,Unincorporated - Ladera Heights,85,1202,1159,3,42,19,7071
268,8/29/2020,Unincorporated - Lake Hughes,2,299,328,0,0,0,668
269,8/29/2020,Unincorporated - Lake Los Angeles,193,1485,1483,4,31,44,12994
270,8/29/2020,Unincorporated - Lake Manor,24,1461,1547,0,0,0,1643
271,8/29/2020,Unincorporated - Lennox,641,2844,2831,4,18,34,22542
272,8/29/2020,Unincorporated - Leona Valley,17,971,999,0,0,0,1751
273,8/29/2020,Unincorporated - Littlerock,78,1940,2006,0,0,0,4021
274,8/29/2020,Unincorporated - Littlerock/Juniper Hills,8,617,852,0,0,0,1297
275,8/29/2020,Unincorporated - Littlerock/Pearblossom,79,2214,2302,0,0,0,3569
276,8/29/2020,Unincorporated - Llano,3,342,355,0,0,0,877
277,8/29/2020,Unincorporated - Marina del Rey,65,691,533,1,11,13,9411
278,8/29/2020,Unincorporated - Monrovia,74,1907,1987,0,0,0,3881
279,8/29/2020,Unincorporated - Newhall,6,2727,2283,0,0,0,220
280,8/29/2020,Unincorporated - North Lancaster,18,1502,1967,0,0,0,1198
281,8/29/2020,Unincorporated - North Whittier,186,2225,2196,9,108,95,8360
282,8/29/2020,Unincorporated - Northeast San Gabriel,309,1286,1326,8,33,29,24036
283,8/29/2020,Unincorporated - Palmdale,21,2494,2719,0,0,0,842
284,8/29/2020,Unincorporated - Palos Verdes Peninsula,3,483,729,0,0,0,621
285,8/29/2020,Unincorporated - Pearblossom/Llano,19,971,863,1,51,20,1956
286,8/29/2020,Unincorporated - Pellissier Village,25,4039,3983,0,0,0,619
287,8/29/2020,Unincorporated - Pomona,14,722,1842,1,52,86,1938
288,8/29/2020,Unincorporated - Quartz Hill,145,1124,1074,11,85,63,12906
