id,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
92,8/16/2020,Los Angeles - Baldwin Hills,530,1703,1698,26,84,66,31125
93,8/16/2020,Los Angeles - Bel Air,63,747,794,0,0,0,8429
94,8/16/2020,Los Angeles - Beverly Crest,96,766,893,2,16,9,12525
95,8/16/2020,Los Angeles - Beverlywood,131,994,1047,0,0,0,13173
96,8/16/2020,Los Angeles - Boyle Heights,3750,4316,4299,53,61,71,86884
97,8/16/2020,Los Angeles - Brentwood,233,753,701,3,10,7,30955
98,8/16/2020,Los Angeles - Brookside,3,516,485,0,0,0,581
99,8/16/2020,Los Angeles - Cadillac-Corning,104,1460,1420,1,14,27,7121
100,8/16/2020,Los Angeles - Canoga Park,1528,2340,2313,50,77,98,65289
101,8/16/2020,Los Angeles - Carthay,188,1309,1619,13,91,43,14363
102,8/16/2020,Los Angeles - Central,1825,4680,4752,37,95,131,38992
103,8/16/2020,Los Angeles - Century City,103,805,922,0,0,0,12792
104,8/16/2020,Los Angeles - Century Palms/Cove,1302,3856,3940,16,47,68,33766
105,8/16/2020,Los Angeles - Chatsworth,570,1538,1526,34,92,58,37061
106,8/16/2020,Los Angeles - Cheviot Hills,58,632,723,2,22,10,9171
107,8/16/2020,Los Angeles - Chinatown,98,1222,1206,2,25,14,8021
108,8/16/2020,Los Angeles - Cloverdale/Cochran,251,1725,1655,5,34,37,14553
109,8/16/2020,Los Angeles - Country Club Park,260,1716,1577,22,145,108,15153
110,8/16/2020,Los Angeles - Crenshaw District,262,1895,1904,3,22,14,13829
111,8/16/2020,Los Angeles - Crestview,167,1469,1434,19,167,151,11368
112,8/16/2020,Los Angeles - Del Rey,299,999,997,9,30,23,29936
113,8/16/2020,Los Angeles - Downtown,624,2269,2234,12,44,34,27507
114,8/16/2020,Los Angeles - Eagle Rock,557,1407,1363,17,43,30,39589
115,8/16/2020,Los Angeles - East Hollywood,537,1834,1704,43,147,126,29287
116,8/16/2020,Los Angeles - Echo Park,193,1354,1341,4,28,27,14256
117,8/16/2020,Los Angeles - El Sereno,1031,2466,2422,29,69,65,41808
118,8/16/2020,Los Angeles - Elysian Park,86,1506,1414,0,0,0,5712
119,8/16/2020,Los Angeles - Elysian Valley,223,2193,2121,2,20,19,10171
120,8/16/2020,Los Angeles - Encino,461,1021,1064,16,35,17,45172
121,8/16/2020,Los Angeles - Exposition,69,2075,1938,1,30,29,3326
122,8/16/2020,Los Angeles - Exposition Park,1119,2491,2558,19,42,56,44917
123,8/16/2020,Los Angeles - Faircrest Heights,26,722,651,2,56,46,3600
124,8/16/2020,Los Angeles - Figueroa Park Square,277,3176,3161,2,23,26,8721
125,8/16/2020,Los Angeles - Florence-Firestone,1982,4177,4220,23,48,72,47445
126,8/16/2020,Los Angeles - Glassell Park,577,1826,1779,13,41,34,31604
127,8/16/2020,Los Angeles - Gramercy Place,206,1914,1970,4,37,24,10764
128,8/16/2020,Los Angeles - Granada Hills,991,1703,1607,61,105,75,58191
129,8/16/2020,Los Angeles - Green Meadows,823,3827,3860,10,46,64,21505
130,8/16/2020,Los Angeles - Hancock Park,190,1115,1139,3,18,17,17039
131,8/16/2020,Los Angeles - Harbor City,417,1434,1425,9,31,25,29070
132,8/16/2020,Los Angeles - Harbor Gateway,805,1846,1805,11,25,27,43600
133,8/16/2020,Los Angeles - Harbor Pines,18,747,850,0,0,0,2409
134,8/16/2020,Los Angeles - Harvard Heights,483,2678,2618,22,122,146,18035
135,8/16/2020,Los Angeles - Harvard Park,1369,3609,3569,17,45,49,37935
136,8/16/2020,Los Angeles - Highland Park,925,1912,1871,18,37,41,48391
137,8/16/2020,Los Angeles - Historic Filipinotown,372,2682,2505,13,94,85,13870
138,8/16/2020,Los Angeles - Hollywood,976,1430,1286,9,13,14,68254
139,8/16/2020,Los Angeles - Hollywood Hills,245,832,927,6,20,19,29434
