ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
1,9/14/2020,City of Agoura Hills,155,742,733,1,5,5,20883
2,9/14/2020,City of Alhambra,1204,1388,1379,27,31,22,86724
3,9/14/2020,City of Arcadia,465,805,774,33,57,36,57754
4,9/14/2020,City of Artesia,347,2066,1965,7,42,30,16795
5,9/14/2020,City of Avalon,5,129,151,0,0,0,3869
6,9/14/2020,City of Azusa,1470,2938,2953,20,40,48,50040
7,9/14/2020,City of Baldwin Park,2813,3664,3632,82,107,122,76769
8,9/14/2020,City of Bell,1518,4178,4207,40,110,147,36332
9,9/14/2020,City of Bell Gardens,1840,4272,4317,21,49,77,43071
10,9/14/2020,City of Bellflower,2283,2937,2920,59,76,86,77735
11,9/14/2020,City of Beverly Hills,647,1874,1856,12,35,17,34520
12,9/14/2020,City of Bradbury,14,1310,1589,0,0,0,1069
13,9/14/2020,City of Burbank,1411,1316,1244,57,53,41,107180
14,9/14/2020,City of Calabasas,251,1032,956,12,49,41,24323
15,9/14/2020,City of Carson,1776,1892,1836,57,61,47,93846
16,9/14/2020,City of Cerritos,541,1081,1136,14,28,22,50067
17,9/14/2020,City of Claremont,363,995,1027,10,27,17,36484
18,9/14/2020,City of Commerce,550,4208,4157,11,84,88,13069
19,9/14/2020,City of Compton,3881,3885,3893,68,68,83,99904
20,9/14/2020,City of Covina,1331,2715,2689,35,71,65,49032
21,9/14/2020,City of Cudahy,1058,4346,4402,15,62,102,24347
22,9/14/2020,City of Culver City,374,938,907,29,73,49,39865
23,9/14/2020,City of Diamond Bar,521,906,887,9,16,11,57515
24,9/14/2020,City of Downey,3905,3418,3341,83,73,71,114263
25,9/14/2020,City of Duarte,529,2403,2249,28,127,81,22016
26,9/14/2020,City of El Monte,4200,3582,3545,151,129,129,117269
27,9/14/2020,City of El Segundo,128,763,747,1,6,3,16786
28,9/14/2020,City of Gardena,1205,1965,1946,47,77,54,61310
29,9/14/2020,City of Glendale,3393,1643,1516,172,83,57,206493
30,9/14/2020,City of Glendora,1209,2291,2146,68,129,96,52764
31,9/14/2020,City of Hawaiian Gardens,516,3516,3445,2,14,16,14676
32,9/14/2020,City of Hawthorne,1881,2119,2099,42,47,54,88787
33,9/14/2020,City of Hermosa Beach,201,1022,994,4,20,27,19670
34,9/14/2020,City of Hidden Hills,6,317,160,0,0,0,1890
35,9/14/2020,City of Huntington Park,2776,4667,4641,51,86,111,59484
36,9/14/2020,City of Industry,36,8238,8236,2,458,556,437
37,9/14/2020,City of Inglewood,2766,2435,2406,87,77,82,113582
38,9/14/2020,City of Irwindale,68,4661,4647,2,137,155,1459
39,9/14/2020,City of La Canada Flintridge,173,836,968,7,34,21,20693
40,9/14/2020,City of La Habra Heights,40,733,688,0,0,0,5455
41,9/14/2020,City of La Mirada,810,1633,1566,27,54,37,49599
42,9/14/2020,City of La Puente,1440,3538,3464,18,44,44,40697
43,9/14/2020,City of La Verne,442,1328,1389,10,30,16,33282
44,9/14/2020,City of Lakewood,1218,1516,1520,13,16,13,80362
45,9/14/2020,City of Lancaster,3134,1940,1964,45,28,34,161570
46,9/14/2020,City of Lawndale,612,1821,1765,10,30,39,33614
47,9/14/2020,City of Lomita,236,1139,1105,9,43,30,20729
48,9/14/2020,City of Lynwood,3133,4349,4467,95,132,206,72047
49,9/14/2020,City of Malibu,101,779,792,3,23,11,12961
50,9/14/2020,City of Manhattan Beach,343,953,951,5,14,13,35999
51,9/14/2020,City of Maywood,1390,4956,5131,33,118,177,28049
52,9/14/2020,City of Monrovia,719,1853,1850,37,95,91,38800
53,9/14/2020,City of Montebello,2212,3436,3404,47,73,58,64375
54,9/14/2020,City of Monterey Park,930,1494,1436,45,72,35,62262
55,9/14/2020,City of Norwalk,3105,2885,2814,71,66,65,107622
56,9/14/2020,City of Palmdale,3870,2434,2463,65,41,50,158968
57,9/14/2020,City of Palos Verdes Estates,92,680,636,2,15,7,13522
58,9/14/2020,City of Paramount,2302,4109,4054,28,50,66,56023
59,9/14/2020,City of Pico Rivera,2315,3601,3514,72,112,95,64284
60,9/14/2020,City of Pomona,5233,3356,3328,118,76,92,155931
61,9/14/2020,City of Rancho Palos Verdes,285,667,688,13,30,13,42747
62,9/14/2020,City of Redondo Beach,534,777,813,9,13,14,68697
63,9/14/2020,City of Rolling Hills,11,567,673,0,0,0,1940
64,9/14/2020,City of Rolling Hills Estates,40,493,612,2,25,13,8113
65,9/14/2020,City of Rosemead,799,1444,1410,25,45,34,55350
66,9/14/2020,City of San Dimas,497,1440,1429,14,41,31,34516
67,9/14/2020,City of San Fernando,864,3510,3477,18,73,90,24612
68,9/14/2020,City of San Gabriel,614,1499,1370,57,139,96,40954
