ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
1,6/21/2020,City of Agoura Hills,47,225,209,1,5,5,1386,6637,6071,20883
2,6/21/2020,City of Alhambra,337,389,370,10,12,7,7193,8294,7903,86724
3,6/21/2020,City of Arcadia,130,225,202,7,12,8,3010,5212,5126,57754
4,6/21/2020,City of Artesia,82,488,449,1,6,4,1393,8294,7388,16795
5,6/21/2020,City of Azusa,328,655,661,8,16,20,2896,5787,5898,50040
6,6/21/2020,City of Baldwin Park,620,808,800,8,10,11,5202,6776,6691,76769
7,6/21/2020,City of Bell,557,1533,1599,22,61,86,3249,8943,9047,36332
8,6/21/2020,City of Bell Gardens,556,1291,1379,11,26,44,3112,7225,7613,43071
9,6/21/2020,City of Bellflower,653,840,838,24,31,35,6407,8242,8136,77735
10,6/21/2020,City of Beverly Hills,199,576,547,6,17,9,4263,12349,11627,34520
11,6/21/2020,City of Bradbury,5,468,560,0,0,0,17,1590,1447,1069
12,6/21/2020,City of Burbank,490,457,403,45,42,32,8822,8231,7683,107180
13,6/21/2020,City of Calabasas,103,423,382,10,41,34,1795,7380,7074,24323
14,6/21/2020,City of Carson,575,613,585,27,29,22,6367,6785,6513,93846
15,6/21/2020,City of Cerritos,179,358,378,4,8,5,3069,6130,6035,50067
16,6/21/2020,City of Claremont,83,228,230,2,5,3,2064,5657,5713,36484
17,6/21/2020,City of Commerce,151,1155,1160,1,8,7,1118,8555,8551,13069
18,6/21/2020,City of Compton,1119,1120,1130,23,23,31,8164,8172,8378,99904
19,6/21/2020,City of Covina,297,606,607,7,14,13,3715,7577,7364,49032
20,6/21/2020,City of Cudahy,393,1614,1678,10,41,66,2072,8510,8670,24347
21,6/21/2020,City of Culver City,186,467,403,26,65,44,4509,11311,10847,39865
22,6/21/2020,City of Diamond Bar,108,188,174,3,5,4,2745,4773,4445,57515
23,6/21/2020,City of Downey,1214,1062,1038,43,38,36,9203,8054,7849,114263
24,6/21/2020,City of Duarte,159,722,623,17,77,47,1797,8162,7648,22016
25,6/21/2020,City of El Monte,1130,964,955,41,35,36,8636,7364,7258,117269
