ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
121,5/31/2020,Los Angeles - Figueroa Park Square,37,37,441,0,0,0,441,5057,5194,8721
122,5/31/2020,Los Angeles - Florence-Firestone,390,390,863,10,21,32,2177,4588,4726,47445
123,5/31/2020,Los Angeles - Glassell Park,181,181,533,5,16,14,1728,5468,5303,31604
124,5/31/2020,Los Angeles - Gramercy Place,67,67,640,2,19,12,695,6457,6169,10764
125,5/31/2020,Los Angeles - Granada Hills,317,317,469,24,41,29,3717,6388,6027,58191
126,5/31/2020,Los Angeles - Green Meadows,166,166,784,4,19,25,1004,4669,4834,21505
127,5/31/2020,Los Angeles - Hancock Park,79,79,414,2,12,12,1078,6327,6368,17039
128,5/31/2020,Los Angeles - Harbor City,96,96,313,4,14,11,1090,3750,3629,29070
129,5/31/2020,Los Angeles - Harbor Gateway,139,139,316,4,9,9,1628,3734,3700,43600
130,5/31/2020,Los Angeles - Harbor Pines,9,9,398,0,0,0,101,4193,3926,2409
131,5/31/2020,Los Angeles - Harvard Heights,134,134,754,13,72,87,934,5179,5097,18035
132,5/31/2020,Los Angeles - Harvard Park,299,299,796,3,8,7,2065,5444,5464,37935
133,5/31/2020,Los Angeles - Highland Park,198,198,396,1,2,2,2341,4838,4709,48391
134,5/31/2020,Los Angeles - Historic Filipinotown,132,132,879,5,36,30,1051,7578,7056,13870
135,5/31/2020,Los Angeles - Hollywood,272,272,339,6,9,9,4201,6155,5220,68254
136,5/31/2020,Los Angeles - Hollywood Hills,82,82,276,5,17,16,1975,6710,6498,29434
137,5/31/2020,Los Angeles - Hyde Park,145,145,481,3,11,8,1818,6370,6245,28541
138,5/31/2020,Los Angeles - Jefferson Park,38,38,464,1,12,10,449,5562,5523,8073
139,5/31/2020,Los Angeles - Koreatown,265,265,487,16,31,32,2193,4242,3952,51693
140,5/31/2020,Los Angeles - Lafayette Square,18,18,377,0,0,0,246,5396,5134,4559
141,5/31/2020,Los Angeles - Lake Balboa,199,199,461,6,14,17,2629,6229,6043,42206
142,5/31/2020,Los Angeles - Lakeview Terrace,108,108,799,3,23,19,1013,7713,7601,13133
143,5/31/2020,Los Angeles - Leimert Park,58,58,357,2,13,8,1076,7063,6507,15235
144,5/31/2020,Los Angeles - Lincoln Heights,241,241,711,19,58,52,2219,6807,6556,32597
145,5/31/2020,Los Angeles - Little Armenia,194,194,2010,31,386,318,571,7115,6181,8025
146,5/31/2020,Los Angeles - Little Bangladesh,134,134,464,3,11,12,1336,4714,4507,28343
147,5/31/2020,Los Angeles - Little Tokyo,19,19,447,2,64,21,428,13661,13055,3133
148,5/31/2020,Los Angeles - Longwood,23,23,508,0,0,0,318,7388,7280,4304
149,5/31/2020,Los Angeles - Los Feliz,52,52,240,1,5,3,1496,6923,6992,21608
150,5/31/2020,Los Angeles - Manchester Square,20,20,213,0,0,0,531,6221,5981,8536
151,5/31/2020,Los Angeles - Mandeville Canyon,1,1,32,0,0,0,211,6754,8794,3124
152,5/31/2020,Los Angeles - Mar Vista,82,82,179,4,9,7,2605,6134,5838,42471
153,5/31/2020,Los Angeles - Marina Peninsula,13,13,230,0,0,0,420,9633,11110,4360
154,5/31/2020,Los Angeles - Melrose,549,549,681,37,48,49,5107,6573,6110,77696
